Issue Id,Issue Type,Summary,Epic Name,Epic Link,Description,Acceptance Criteria,Priority,Labels,Components,Story Points
EPIC-001,Epic,"Portal Access, Sign In, and Role Routing",PORTAL-ACCESS,,Build a reliable identity and entry experience for provider and member personas so the portal always routes users into the correct onboarding or dashboard path.,#NAME?,Highest,"portal,access,identity,role-routing",Platform,
STORY-001,Story,"As a returning provider, I want sign in to route me directly to the provider dashboard so that I do not re-enter onboarding.",,PORTAL-ACCESS,Implement provider sign-in logic that validates stored role state and routes authenticated provider users to the provider dashboard and shell.,#NAME?,Highest,"provider,signin,access",Provider Portal,5
STORY-002,Story,"As a returning member, I want sign in to route me to the correct member destination based on enrollment status so that incomplete enrollments can be resumed.",,PORTAL-ACCESS,Implement member sign-in routing that sends fully enrolled users to the member dashboard and incomplete users back into the enrollment flow.,#NAME?,Highest,"member,signin,enrollment",Member Portal,5
STORY-003,Story,"As a first-time provider, I want get-started entry to send me into provider verification rather than member enrollment so that onboarding matches my persona.",,PORTAL-ACCESS,Separate provider onboarding from member enrollment and route providers into credential and verification steps before workspace access.,#NAME?,High,"provider,onboarding,kyc",Provider Portal,5
STORY-004,Story,"As a first-time member, I want get-started entry to send me into the member enrollment wizard so that coverage activation happens in the right sequence.",,PORTAL-ACCESS,"Route first-time members into the multi-step enrollment wizard with registration, KYC, plan selection, eligibility, profile, payment, and activation.",#NAME?,High,"member,onboarding,enrollment",Member Portal,8
STORY-005,Story,"As a user switching between roles in a demo environment, I want role state to reset predictably so that provider and member screens do not bleed into each other.",,PORTAL-ACCESS,Create role reset and role-switch controls for demo and QA use so that role-linked navigation and saved state can be cleared safely.,#NAME?,Medium,"demo,role-state,qa",Platform,3
EPIC-002,Epic,"Shared AI Shell, Voice, File Intake, and Human Handoff",AI-SHELL,,"Deliver a persistent AI-first interaction layer that is available on every relevant provider and member screen with support for text, voice, file uploads, and human escalation.",#NAME?,Highest,"ai-shell,nventr,voice,handoff",AI Platform,
STORY-006,Story,"As a portal user, I want a persistent Nventr assistant on all core screens so that I can ask for help without leaving my current workflow.",,AI-SHELL,Implement a shared shell component that injects the assistant into provider and member workflows and keeps prompt context aligned to the current page.,#NAME?,Highest,"assistant,shell,ux",AI Platform,8
STORY-007,Story,"As a user, I want to use voice prompts so that I can trigger actions hands-free when I am multitasking or on a call.",,AI-SHELL,Add browser-based voice capture for dashboard prompts and assistant prompts with proper status messaging and language preference support.,#NAME?,High,"voice,accessibility,assistant",AI Platform,5
STORY-008,Story,"As a user, I want to attach files to Nventr so that the AI can act on claim, prior auth, appeal, and billing workflows using supporting records.",,AI-SHELL,Support file intake metadata in the assistant and preserve attachment context when workflows are queued or handed off.,#NAME?,High,"attachments,files,assistant",AI Platform,5
